| time | in |load |address|out |
| 0+   | 00 |  0  |    0  | 00 |
| 1    | 00 |  0  |    0  | 00 |
| 1+   | 00 |  1  |    0  | 00 |
| 2    | 00 |  1  |    0  | 00 |
| 2+   | 83 |  0  |    0  | 00 |
| 3    | 83 |  0  |    0  | 00 |
| 3+   | 83 |  1  |   13  | 00 |
| 4    | 83 |  1  |   13  | 83 |
| 4+   | 83 |  0  |    0  | 00 |
| 5    | 83 |  0  |    0  | 00 |
| 5+   | 2f |  0  |   47  | 00 |
| 6    | 2f |  0  |   47  | 00 |
| 6+   | 2f |  1  |   47  | 00 |
| 7    | 2f |  1  |   47  | 2f |
| 7+   | 2f |  0  |   47  | 2f |
| 8    | 2f |  0  |   47  | 2f |
| 8    | 2f |  0  |   13  | 83 |
| 8+   | 3f |  0  |   13  | 83 |
| 9    | 3f |  0  |   13  | 83 |
| 9+   | 3f |  1  |   63  | 00 |
| 10   | 3f |  1  |   63  | 3f |
| 10+  | 3f |  0  |   63  | 3f |
| 11   | 3f |  0  |   63  | 3f |
| 11   | 3f |  0  |   47  | 2f |
| 11   | 3f |  0  |   63  | 3f |
| 11+  | 3f |  0  |   40  | 00 |
| 12   | 3f |  0  |   40  | 00 |
| 12   | 3f |  0  |   41  | 00 |
| 12   | 3f |  0  |   42  | 00 |
| 12   | 3f |  0  |   43  | 00 |
| 12   | 3f |  0  |   44  | 00 |
| 12   | 3f |  0  |   45  | 00 |
| 12   | 3f |  0  |   46  | 00 |
| 12   | 3f |  0  |   47  | 2f |
| 12+  | 55 |  1  |   40  | 00 |
| 13   | 55 |  1  |   40  | 55 |
| 13+  | 55 |  1  |   41  | 00 |
| 14   | 55 |  1  |   41  | 55 |
| 14+  | 55 |  1  |   42  | 00 |
| 15   | 55 |  1  |   42  | 55 |
| 15+  | 55 |  1  |   43  | 00 |
| 16   | 55 |  1  |   43  | 55 |
| 16+  | 55 |  1  |   44  | 00 |
| 17   | 55 |  1  |   44  | 55 |
| 17+  | 55 |  1  |   45  | 00 |
| 18   | 55 |  1  |   45  | 55 |
| 18+  | 55 |  1  |   46  | 00 |
| 19   | 55 |  1  |   46  | 55 |
| 19+  | 55 |  1  |   47  | 2f |
| 20   | 55 |  1  |   47  | 55 |
| 20+  | 55 |  0  |   40  | 55 |
| 21   | 55 |  0  |   40  | 55 |
| 21   | 55 |  0  |   41  | 55 |
| 21   | 55 |  0  |   42  | 55 |
| 21   | 55 |  0  |   43  | 55 |
| 21   | 55 |  0  |   44  | 55 |
| 21   | 55 |  0  |   45  | 55 |
| 21   | 55 |  0  |   46  | 55 |
| 21   | 55 |  0  |   47  | 55 |
| 21+  | aa |  1  |   40  | 55 |
| 22   | aa |  1  |   40  | aa |
| 22+  | aa |  0  |   40  | aa |
| 23   | aa |  0  |   40  | aa |
| 23   | aa |  0  |   41  | 55 |
| 23   | aa |  0  |   42  | 55 |
| 23   | aa |  0  |   43  | 55 |
| 23   | aa |  0  |   44  | 55 |
| 23   | aa |  0  |   45  | 55 |
| 23   | aa |  0  |   46  | 55 |
| 23   | aa |  0  |   47  | 55 |
| 23+  | 55 |  1  |   40  | aa |
| 24   | 55 |  1  |   40  | 55 |
| 24+  | aa |  1  |   41  | 55 |
| 25   | aa |  1  |   41  | aa |
| 25+  | aa |  0  |   40  | 55 |
| 26   | aa |  0  |   40  | 55 |
| 26   | aa |  0  |   41  | aa |
| 26   | aa |  0  |   42  | 55 |
| 26   | aa |  0  |   43  | 55 |
| 26   | aa |  0  |   44  | 55 |
| 26   | aa |  0  |   45  | 55 |
| 26   | aa |  0  |   46  | 55 |
| 26   | aa |  0  |   47  | 55 |
| 26+  | 55 |  1  |   41  | aa |
| 27   | 55 |  1  |   41  | 55 |
| 27+  | aa |  1  |   42  | 55 |
| 28   | aa |  1  |   42  | aa |
